EXPOCODE 3250031_1   WHP-ID P31     CRUISE DATES 012594 TO 021994         20020814WHPOSIODM                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  TCARBN  ALKALI      PH  PHTEMP  CFC-11  CFC-12         QUALT1         QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG           DEG C PMOL/KG PMOL/KG                             *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                             *
       1       1      16      16     2.2 29.6243 35.9516   201.5 29.6238 35.9566   196.4    1.81    0.12    0.00    0.24    -9.0    -9.0 -9.0000   -9.00   1.748   0.942 22222222299922 22222222299922
       1       1      15      15    15.2 29.0534 35.9922   202.3 29.0497 35.9876   196.5    1.43    0.12    0.00    0.23    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1      14      14    45.5 28.2146 36.0423    -9.0 28.2038 36.0176   198.5    1.43    0.11    0.00    0.23    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 23522222299999 23522222299999
       1       1      13      13    80.3 26.3173 36.1801   190.9 26.2991 36.1753   204.3    1.05    0.11    0.00    0.23    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1      12      12   105.5 24.8418 36.0942   187.3 24.8189 36.0929   202.8    1.04    0.11    0.00    0.24    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1      11      11   155.7 22.7339 35.9786   184.3 22.7022 35.9751   187.5    1.03    1.29    0.06    0.34    -9.0    -9.0 -9.0000   -9.00   1.770   0.921 22222222299922 22222222299922
       1       1      10      10   206.0 20.9399 35.8220   182.8 20.9004 35.8259   183.3    1.03    2.57    0.02    0.41    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1       9       9   257.0 18.6543 35.5796   165.4 18.6088 35.5836   172.2    1.58    5.37    0.01    0.61    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1       8       8   306.6 15.8928 35.2323   166.8 15.8442 35.2290   166.7    3.63    9.40    0.00    0.89    -9.0    -9.0 -9.0000   -9.00   1.497   0.793 22222222299922 22222222299922
       1       1       7       7   406.9 11.9191 34.8010   156.9 11.8659 34.7814   150.1    9.59   17.72    0.00    1.45    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       1       1       6       6   507.6  8.5607 34.5299   147.2  8.5066 34.5328   140.8   18.55   25.82    0.00    1.95    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
